,Argonne_ID,DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,Manual_edit
693,GDSC.A375,ACH-000219,A-375,A375,A375_SKIN,
694,gCSI.A375,ACH-000219,A-375,A375,A375_SKIN,
695,CTRP.A375,ACH-000219,A-375,A375,A375_SKIN,
696,CCLE.SNU398,ACH-000221,SNU-398,SNU398,SNU398_LIVER,
697,GDSC.SNU-398,ACH-000221,SNU-398,SNU398,SNU398_LIVER,
698,gCSI.SNU-398,ACH-000221,SNU-398,SNU398,SNU398_LIVER,
699,CTRP.SNU-398,ACH-000221,SNU-398,SNU398,SNU398_LIVER,
700,CCLE.ASPC1,ACH-000222,AsPC-1,ASPC1,ASPC1_PANCREAS,
701,GDSC.AsPC-1,ACH-000222,AsPC-1,ASPC1,ASPC1_PANCREAS,
702,gCSI.ASPC-1,ACH-000222,AsPC-1,ASPC1,ASPC1_PANCREAS,
703,CTRP.AsPC-1,ACH-000222,AsPC-1,ASPC1,ASPC1_PANCREAS,
704,CCLE.HCC1937,ACH-000223,HCC1937,HCC1937,HCC1937_BREAST,
705,GDSC.HCC1937,ACH-000223,HCC1937,HCC1937,HCC1937_BREAST,
706,gCSI.HCC1937,ACH-000223,HCC1937,HCC1937,HCC1937_BREAST,
707,CTRP.HCC1937,ACH-000223,HCC1937,HCC1937,HCC1937_BREAST,
708,CCLE.ECC12,ACH-000225,ECC12,ECC12,ECC12_STOMACH,
709,GDSC.ECC12,ACH-000225,ECC12,ECC12,ECC12_STOMACH,
710,CTRP.ECC12,ACH-000225,ECC12,ECC12,ECC12_STOMACH,
711,CCLE.SUPM2,ACH-000226,SUP-M2,SUPM2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
712,GDSC.SUP-M2,ACH-000226,SUP-M2,SUPM2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
713,CTRP.SUP-M2,ACH-000226,SUP-M2,SUPM2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
714,CCLE.KPNYN,ACH-000227,KP-N-YN,KPNYN,KPNYN_AUTONOMIC_GANGLIA,
715,GDSC.KP-N-YN,ACH-000227,KP-N-YN,KPNYN,KPNYN_AUTONOMIC_GANGLIA,
716,gCSI.KP-N-YN,ACH-000227,KP-N-YN,KPNYN,KPNYN_AUTONOMIC_GANGLIA,
717,CTRP.KP-N-YN,ACH-000227,KP-N-YN,KPNYN,KPNYN_AUTONOMIC_GANGLIA,
718,CCLE.BICR31,ACH-000228,BICR 31,BICR31,BICR31_UPPER_AERODIGESTIVE_TRACT,
719,GDSC.BICR31,ACH-000228,BICR 31,BICR31,BICR31_UPPER_AERODIGESTIVE_TRACT,
720,CTRP.BICR-31,ACH-000228,BICR 31,BICR31,BICR31_UPPER_AERODIGESTIVE_TRACT,
721,CCLE.KALS1,ACH-000231,KALS-1,KALS1,KALS1_CENTRAL_NERVOUS_SYSTEM,
722,GDSC.KALS-1,ACH-000231,KALS-1,KALS1,KALS1_CENTRAL_NERVOUS_SYSTEM,
723,gCSI.KALS-1,ACH-000231,KALS-1,KALS1,KALS1_CENTRAL_NERVOUS_SYSTEM,
724,CTRP.KALS-1,ACH-000231,KALS-1,KALS1,KALS1_CENTRAL_NERVOUS_SYSTEM,
725,CCLE.U251MG,ACH-000232,U-251 MG,U251MG,U251MG_CENTRAL_NERVOUS_SYSTEM,Yes
726,CTRP.U251MG,ACH-000232,U-251 MG,U251MG,U251MG_CENTRAL_NERVOUS_SYSTEM,Yes
727,NCI60.U251,ACH-000232,U-251 MG,U251MG,U251MG_CENTRAL_NERVOUS_SYSTEM,Yes
728,GDSC.U251,ACH-000232,U-251 MG,U251MG,U251MG_CENTRAL_NERVOUS_SYSTEM,Yes
729,CCLE.DEL,ACH-000233,DEL,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
730,GDSC.DEL,ACH-000233,DEL,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
731,gCSI.DEL,ACH-000233,DEL,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
732,CTRP.DEL,ACH-000233,DEL,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
733,CCLE.CAKI2,ACH-000234,Caki-2,CAKI2,CAKI2_KIDNEY,
734,gCSI.CAKI-2,ACH-000234,Caki-2,CAKI2,CAKI2_KIDNEY,
735,CTRP.Caki-2,ACH-000234,Caki-2,CAKI2,CAKI2_KIDNEY,
736,CCLE.PANC0403,ACH-000235,Panc 04.03,PANC0403,PANC0403_PANCREAS,
737,GDSC.PANC-04-03,ACH-000235,Panc 04.03,PANC0403,PANC0403_PANCREAS,
738,gCSI.PANC-04-03,ACH-000235,Panc 04.03,PANC0403,PANC0403_PANCREAS,
739,CTRP.Panc-04-03,ACH-000235,Panc 04.03,PANC0403,PANC0403_PANCREAS,
740,CCLE.SW1417,ACH-000236,SW1417,SW1417,SW1417_LARGE_INTESTINE,
741,GDSC.SW1417,ACH-000236,SW1417,SW1417,SW1417_LARGE_INTESTINE,
742,CTRP.SW1417,ACH-000236,SW1417,SW1417,SW1417_LARGE_INTESTINE,
743,CCLE.JHOM1,ACH-000237,JHOM-1,JHOM1,JHOM1_OVARY,
744,CTRP.JHOM-1,ACH-000237,JHOM-1,JHOM1,JHOM1_OVARY,
745,CCLE.SCC4,ACH-000238,SCC-4,SCC4,SCC4_UPPER_AERODIGESTIVE_TRACT,
746,GDSC.SCC-4,ACH-000238,SCC-4,SCC4,SCC4_UPPER_AERODIGESTIVE_TRACT,
747,CTRP.SCC-4,ACH-000238,SCC-4,SCC4,SCC4_UPPER_AERODIGESTIVE_TRACT,
748,CCLE.HS600T,ACH-000240,,HS600T,HS600T_FIBROBLAST,
749,CCLE.RT4,ACH-000242,RT4,RT4,RT4_URINARY_TRACT,
750,GDSC.RT4,ACH-000242,RT4,RT4,RT4_URINARY_TRACT,
751,gCSI.RT4,ACH-000242,RT4,RT4,RT4_URINARY_TRACT,
752,CTRP.RT4,ACH-000242,RT4,RT4,RT4_URINARY_TRACT,
753,CCLE.DANG,ACH-000243,DAN-G,DANG,DANG_PANCREAS,
754,GDSC.DAN-G,ACH-000243,DAN-G,DANG,DANG_PANCREAS,
755,CTRP.DAN-G,ACH-000243,DAN-G,DANG,DANG_PANCREAS,
756,CCLE.DKMG,ACH-000244,DK-MG,DKMG,DKMG_CENTRAL_NERVOUS_SYSTEM,
757,GDSC.DK-MG,ACH-000244,DK-MG,DKMG,DKMG_CENTRAL_NERVOUS_SYSTEM,
758,CTRP.DK-MG,ACH-000244,DK-MG,DKMG,DKMG_CENTRAL_NERVOUS_SYSTEM,
759,CCLE.BL41,ACH-000245,BL-41,BL41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
760,GDSC.BL-41,ACH-000245,BL-41,BL41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
761,CTRP.BL-41,ACH-000245,BL-41,BL41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
762,CCLE.SLR23,ACH-000246,SLR 23,SLR23,SLR23_KIDNEY,
763,CCLE.OCUM1,ACH-000247,OCUM-1,OCUM1,OCUM1_STOMACH,
764,GDSC.OCUM-1,ACH-000247,OCUM-1,OCUM1,OCUM1_STOMACH,
765,gCSI.OCUM-1,ACH-000247,OCUM-1,OCUM1,OCUM1_STOMACH,
766,CTRP.OCUM-1,ACH-000247,OCUM-1,OCUM1,OCUM1_STOMACH,
767,CCLE.AU565,ACH-000248,AU565,AU565,AU565_BREAST,
768,GDSC.AU565,ACH-000248,AU565,AU565,AU565_BREAST,
769,gCSI.AU565,ACH-000248,AU565,AU565,AU565_BREAST,
770,CTRP.AU565,ACH-000248,AU565,AU565,AU565_BREAST,
771,CCLE.CL11,ACH-000249,CL-11,CL11,CL11_LARGE_INTESTINE,
772,GDSC.CL-11,ACH-000249,CL-11,CL11,CL11_LARGE_INTESTINE,
773,CTRP.CL-11,ACH-000249,CL-11,CL11,CL11_LARGE_INTESTINE,
774,CCLE.KMRC20,ACH-000250,KMRC-20,KMRC20,KMRC20_KIDNEY,
775,GDSC.KMRC-20,ACH-000250,KMRC-20,KMRC20,KMRC20_KIDNEY,
776,CTRP.KMRC-20,ACH-000250,KMRC-20,KMRC20,KMRC20_KIDNEY,
777,CCLE.NCI-H2887,ACH-000251,,NCIH2887,NCIH2887_LUNG,
778,CCLE.LS1034,ACH-000252,LS1034,LS1034,LS1034_LARGE_INTESTINE,
779,GDSC.LS-1034,ACH-000252,LS1034,LS1034,LS1034_LARGE_INTESTINE,
780,gCSI.LS-1034,ACH-000252,LS1034,LS1034,LS1034_LARGE_INTESTINE,
781,CTRP.LS-1034,ACH-000252,LS1034,LS1034,LS1034_LARGE_INTESTINE,
782,CCLE.COLO201,ACH-000253,COLO 201,COLO201,COLO201_LARGE_INTESTINE,
783,gCSI.COLO-201,ACH-000253,COLO 201,COLO201,COLO201_LARGE_INTESTINE,
784,CTRP.COLO-201,ACH-000253,COLO 201,COLO201,COLO201_LARGE_INTESTINE,
785,CCLE.SCC15,ACH-000254,SCC-15,SCC15,SCC15_UPPER_AERODIGESTIVE_TRACT,
786,GDSC.SCC-15,ACH-000254,SCC-15,SCC15,SCC15_UPPER_AERODIGESTIVE_TRACT,
787,CCLE.LMSU,ACH-000255,LMSU,LMSU,LMSU_STOMACH,
788,CTRP.LMSU,ACH-000255,LMSU,LMSU,LMSU_STOMACH,
789,CCLE.COV318,ACH-000256,COV318,COV318,COV318_OVARY,
790,gCSI.COV318,ACH-000256,COV318,COV318,COV318_OVARY,
791,CCLE.CORL279,ACH-000257,COR-L279,CORL279,CORL279_LUNG,
792,GDSC.COR-L279,ACH-000257,COR-L279,CORL279,CORL279_LUNG,
793,gCSI.COR-L279,ACH-000257,COR-L279,CORL279,CORL279_LUNG,
794,CTRP.COR-L279,ACH-000257,COR-L279,CORL279,CORL279_LUNG,
795,CCLE.DU4475,ACH-000258,Du4475,DU4475,DU4475_BREAST,
796,GDSC.DU-4475,ACH-000258,Du4475,DU4475,DU4475_BREAST,
797,CTRP.DU-4475,ACH-000258,Du4475,DU4475,DU4475_BREAST,
798,CCLE.KELLY,ACH-000259,KELLY,KELLY,KELLY_AUTONOMIC_GANGLIA,
799,GDSC.KELLY,ACH-000259,KELLY,KELLY,KELLY_AUTONOMIC_GANGLIA,
800,gCSI.KELLY,ACH-000259,KELLY,KELLY,KELLY_AUTONOMIC_GANGLIA,
801,CTRP.KELLY,ACH-000259,KELLY,KELLY,KELLY_AUTONOMIC_GANGLIA,
802,CCLE.SKNAS,ACH-000260,SK-N-AS,SKNAS,SKNAS_AUTONOMIC_GANGLIA,
803,GDSC.SK-N-AS,ACH-000260,SK-N-AS,SKNAS,SKNAS_AUTONOMIC_GANGLIA,
804,gCSI.SK-N-AS,ACH-000260,SK-N-AS,SKNAS,SKNAS_AUTONOMIC_GANGLIA,
805,CTRP.SK-N-AS,ACH-000260,SK-N-AS,SKNAS,SKNAS_AUTONOMIC_GANGLIA,
806,CCLE.RERFLCAI,ACH-000261,RERF-LC-AI,RERFLCAI,RERFLCAI_LUNG,
807,CTRP.RERF-LC-AI,ACH-000261,RERF-LC-AI,RERFLCAI,RERFLCAI_LUNG,
808,CCLE.UOK101,ACH-000262,UOK101,UOK101,UOK101_KIDNEY,
809,CCLE.KASUMI1,ACH-000263,KASUMI-1,KASUMI1,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
810,GDSC.KASUMI-1,ACH-000263,KASUMI-1,KASUMI1,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
811,CTRP.KASUMI-1,ACH-000263,KASUMI-1,KASUMI1,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
812,CCLE.CALU6,ACH-000264,Calu-6,CALU6,CALU6_LUNG,
813,GDSC.Calu-6,ACH-000264,Calu-6,CALU6,CALU6_LUNG,
814,CTRP.Calu-6,ACH-000264,Calu-6,CALU6,CALU6_LUNG,
815,CCLE.KP4,ACH-000265,KP4,KP4,KP4_PANCREAS,
816,GDSC.KP-4,ACH-000265,KP4,KP4,KP4_PANCREAS,
817,gCSI.KP-4,ACH-000265,KP4,KP4,KP4_PANCREAS,
818,CTRP.KP-4,ACH-000265,KP4,KP4,KP4_PANCREAS,
819,CCLE.SNU213,ACH-000266,SNU-213,SNU213,SNU213_PANCREAS,
820,CTRP.SNU-213,ACH-000266,SNU-213,SNU213,SNU213_PANCREAS,
821,CCLE.HDLM2,ACH-000267,HDLM-2,HDLM2,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
822,GDSC.HDLM-2,ACH-000267,HDLM-2,HDLM2,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
823,CTRP.HDLM-2,ACH-000267,HDLM-2,HDLM2,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
824,CCLE.SNU245,ACH-000268,SNU-245,SNU245,SNU245_BILIARY_TRACT,
825,CTRP.SNU-245,ACH-000268,SNU-245,SNU245,SNU245_BILIARY_TRACT,
826,CCLE.AM38,ACH-000269,AM-38,AM38,AM38_CENTRAL_NERVOUS_SYSTEM,
827,GDSC.AM-38,ACH-000269,AM-38,AM38,AM38_CENTRAL_NERVOUS_SYSTEM,
828,gCSI.AM-38,ACH-000269,AM-38,AM38,AM38_CENTRAL_NERVOUS_SYSTEM,
829,CTRP.AM-38,ACH-000269,AM-38,AM38,AM38_CENTRAL_NERVOUS_SYSTEM,
830,CCLE.HPAC,ACH-000270,HPAC,HPAC,HPAC_PANCREAS,
831,GDSC.HPAC,ACH-000270,HPAC,HPAC,HPAC_PANCREAS,
832,gCSI.HPAC,ACH-000270,HPAC,HPAC,HPAC_PANCREAS,
833,CTRP.HPAC,ACH-000270,HPAC,HPAC,HPAC_PANCREAS,
834,CCLE.SUDHL10,ACH-000271,SU-DHL-10,SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
835,GDSC.SU-DHL-10,ACH-000271,SU-DHL-10,SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
836,gCSI.SU-DHL-10,ACH-000271,SU-DHL-10,SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
837,CTRP.SU-DHL-10,ACH-000271,SU-DHL-10,SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
838,CCLE.SLR24,ACH-000272,SLR 24,SLR24,SLR24_KIDNEY,
839,NCI60.SF-539,ACH-000273,SF539,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,
840,CCLE.SF539,ACH-000273,SF539,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,
841,GDSC.SF539,ACH-000273,SF539,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,
842,gCSI.SF539,ACH-000273,SF539,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,
843,CTRP.SF539,ACH-000273,SF539,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,
844,CCLE.HS852T,ACH-000274,Hs 852.T,HS852T,HS852T_SKIN,
845,gCSI.HS-852-T,ACH-000274,Hs 852.T,HS852T,HS852T_SKIN,
846,CTRP.Hs-852-T,ACH-000274,Hs 852.T,HS852T,HS852T_SKIN,
847,CCLE.HCC38,ACH-000276,HCC38,HCC38,HCC38_BREAST,
848,GDSC.HCC38,ACH-000276,HCC38,HCC38,HCC38_BREAST,
849,gCSI.HCC38,ACH-000276,HCC38,HCC38,HCC38_BREAST,
850,CTRP.HCC38,ACH-000276,HCC38,HCC38,HCC38_BREAST,
851,CCLE.HCC1419,ACH-000277,HCC1419,HCC1419,HCC1419_BREAST,
852,GDSC.HCC1419,ACH-000277,HCC1419,HCC1419,HCC1419_BREAST,
853,gCSI.HCC1419,ACH-000277,HCC1419,HCC1419,HCC1419_BREAST,
854,CTRP.HCC1419,ACH-000277,HCC1419,HCC1419,HCC1419_BREAST,
855,CCLE.COV362,ACH-000278,COV362,COV362,COV362_OVARY,
856,CTRP.COV362,ACH-000278,COV362,COV362,COV362_OVARY,
857,CCLE.EWS502,ACH-000279,EWS502,EWS502,EWS502_BONE,
858,CCLE.SNU840,ACH-000280,SNU-840,SNU840,SNU840_OVARY,
859,CTRP.SNU-840,ACH-000280,SNU-840,SNU840,SNU840_OVARY,
860,CCLE.KP2,ACH-000281,KP-2,KP2,KP2_PANCREAS,
861,GDSC.KP-2,ACH-000281,KP-2,KP2,KP2_PANCREAS,
862,CTRP.KP-2,ACH-000281,KP-2,KP2,KP2_PANCREAS,
863,CCLE.NCIH1755,ACH-000282,NCI-H1755,NCIH1755,NCIH1755_LUNG,
864,GDSC.NCI-H1755,ACH-000282,NCI-H1755,NCIH1755,NCIH1755_LUNG,
865,CTRP.NCI-H1755,ACH-000282,NCI-H1755,NCIH1755,NCIH1755_LUNG,
866,CCLE.A1207,ACH-000283,A1207,A1207,A1207_CENTRAL_NERVOUS_SYSTEM,
867,CCLE.SNU1033,ACH-000286,SNU-1033,SNU1033,SNU1033_LARGE_INTESTINE,
868,CTRP.SNU-1033,ACH-000286,SNU-1033,SNU1033,SNU1033_LARGE_INTESTINE,
869,CCLE.NUDUL1,ACH-000287,NU-DUL-1,NUDUL1,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
870,GDSC.NU-DUL-1,ACH-000287,NU-DUL-1,NUDUL1,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
871,CTRP.NU-DUL-1,ACH-000287,NU-DUL-1,NUDUL1,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
872,CCLE.SNU466,ACH-000289,SNU-466,SNU466,SNU466_CENTRAL_NERVOUS_SYSTEM,
873,CTRP.SNU-466,ACH-000289,SNU-466,SNU466,SNU466_CENTRAL_NERVOUS_SYSTEM,
874,CCLE.NCIH209,ACH-000290,NCI-H209,NCIH209,NCIH209_LUNG,
875,GDSC.NCI-H209,ACH-000290,NCI-H209,NCIH209,NCIH209_LUNG,
876,CTRP.NCI-H209,ACH-000290,NCI-H209,NCIH209,NCIH209_LUNG,
877,CCLE.OV90,ACH-000291,OV-90,OV90,OV90_OVARY,
878,GDSC.OV-90,ACH-000291,OV-90,OV90,OV90_OVARY,
879,gCSI.OV-90,ACH-000291,OV-90,OV90,OV90_OVARY,
880,CTRP.OV-90,ACH-000291,OV-90,OV90,OV90_OVARY,
881,CCLE.NCIH841,ACH-000292,NCI-H841,NCIH841,NCIH841_LUNG,
882,GDSC.NCI-H841,ACH-000292,NCI-H841,NCIH841,NCIH841_LUNG,
883,CTRP.NCI-H841,ACH-000292,NCI-H841,NCIH841,NCIH841_LUNG,
884,CCLE.KLE,ACH-000293,KLE,KLE,KLE_ENDOMETRIUM,
885,GDSC.KLE,ACH-000293,KLE,KLE,KLE_ENDOMETRIUM,
886,gCSI.KLE,ACH-000293,KLE,KLE,KLE_ENDOMETRIUM,
887,CTRP.KLE,ACH-000293,KLE,KLE,KLE_ENDOMETRIUM,
888,CCLE.NB4,ACH-000294,NB-4,NB4,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
889,GDSC.NB4,ACH-000294,NB-4,NB4,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
890,CTRP.NB4,ACH-000294,NB-4,NB4,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
891,CCLE.EM2,ACH-000295,EM-2,EM2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
892,GDSC.EM-2,ACH-000295,EM-2,EM2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
893,CTRP.EM-2,ACH-000295,EM-2,EM2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
894,CCLE.OUMS23,ACH-000296,OUMS-23,OUMS23,OUMS23_LARGE_INTESTINE,
895,GDSC.OUMS-23,ACH-000296,OUMS-23,OUMS23,OUMS23_LARGE_INTESTINE,
896,CTRP.OUMS-23,ACH-000296,OUMS-23,OUMS23,OUMS23_LARGE_INTESTINE,
897,CCLE.NCIH2029,ACH-000298,NCI-H2029,NCIH2029,NCIH2029_LUNG,
898,GDSC.NCI-H2029,ACH-000298,NCI-H2029,NCIH2029,NCIH2029_LUNG,
899,CTRP.NCI-H2029,ACH-000298,NCI-H2029,NCIH2029,NCIH2029_LUNG,
900,CCLE.HNT-34-2,ACH-000299,,HNT34,HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Yes
901,CCLE.LAMA84,ACH-000301,LAMA-84,LAMA84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
902,GDSC.LAMA-84,ACH-000301,LAMA-84,LAMA84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
903,CTRP.LAMA-84,ACH-000301,LAMA-84,LAMA84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
904,CCLE.SNU1077,ACH-000302,SNU-1077,SNU1077,SNU1077_ENDOMETRIUM,
905,CTRP.SNU-1077,ACH-000302,SNU-1077,SNU1077,SNU1077_ENDOMETRIUM,
906,CCLE.SNU5,ACH-000303,SNU-5,SNU5,SNU5_STOMACH,
907,CTRP.SNU-5,ACH-000303,SNU-5,SNU5,SNU5_STOMACH,
908,CCLE.WM115,ACH-000304,WM-115,WM115,WM115_SKIN,
909,GDSC.WM-115,ACH-000304,WM-115,WM115,WM115_SKIN,
910,gCSI.WM-115,ACH-000304,WM-115,WM115,WM115_SKIN,
911,CTRP.WM-115,ACH-000304,WM-115,WM115,WM115_SKIN,
912,CCLE.ECGI10,ACH-000305,EC-GI-10,ECGI10,ECGI10_OESOPHAGUS,
913,GDSC.EC-GI-10,ACH-000305,EC-GI-10,ECGI10,ECGI10_OESOPHAGUS,
914,CTRP.EC-GI-10,ACH-000305,EC-GI-10,ECGI10,ECGI10_OESOPHAGUS,
915,CCLE.HS688AT,ACH-000306,Hs 688(A).T,HS688AT,HS688AT_FIBROBLAST,
916,CTRP.Hs-688-A-T,ACH-000306,Hs 688(A).T,HS688AT,HS688AT_FIBROBLAST,
917,CCLE.PK1,ACH-000307,PK-1,PK1,PK1_PANCREAS,
918,gCSI.PK-1,ACH-000307,PK-1,PK1,PK1_PANCREAS,
919,CTRP.PK-1,ACH-000307,PK-1,PK1,PK1_PANCREAS,
920,CCLE.EFO21,ACH-000308,EFO-21,EFO21,EFO21_OVARY,
921,GDSC.EFO-21,ACH-000308,EFO-21,EFO21,EFO21_OVARY,
922,CTRP.EFO-21,ACH-000308,EFO-21,EFO21,EFO21_OVARY,
923,CCLE.SKLU1,ACH-000309,SK-LU-1,SKLU1,SKLU1_LUNG,
924,GDSC.SK-LU-1,ACH-000309,SK-LU-1,SKLU1,SKLU1_LUNG,
925,CTRP.SK-LU-1,ACH-000309,SK-LU-1,SKLU1,SKLU1_LUNG,
926,CCLE.IMR32,ACH-000310,IMR-32,IMR32,IMR32_AUTONOMIC_GANGLIA,
927,gCSI.IMR-32,ACH-000310,IMR-32,IMR32,IMR32_AUTONOMIC_GANGLIA,
928,CTRP.IMR-32,ACH-000310,IMR-32,IMR32,IMR32_AUTONOMIC_GANGLIA,
929,CCLE.NCIH2122,ACH-000311,NCI-H2122,NCIH2122,NCIH2122_LUNG,
930,GDSC.NCI-H2122,ACH-000311,NCI-H2122,NCIH2122,NCIH2122_LUNG,
931,gCSI.NCI-H2122,ACH-000311,NCI-H2122,NCIH2122,NCIH2122_LUNG,
932,CTRP.NCI-H2122,ACH-000311,NCI-H2122,NCIH2122,NCIH2122_LUNG,
933,CCLE.SKNBE2,ACH-000312,SK-N-BE(2),SKNBE2,SKNBE2_AUTONOMIC_GANGLIA,
934,gCSI.SK-N-BE(2),ACH-000312,SK-N-BE(2),SKNBE2,SKNBE2_AUTONOMIC_GANGLIA,
935,CTRP.SK-N-BE-2,ACH-000312,SK-N-BE(2),SKNBE2,SKNBE2_AUTONOMIC_GANGLIA,
936,CCLE.HCC2108,ACH-000314,HCC-2108,HCC2108,HCC2108_LUNG,
937,CTRP.HCC-2108,ACH-000314,HCC-2108,HCC2108,HCC2108_LUNG,
938,CCLE.KARPAS422,ACH-000315,KARPAS-422,KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
939,GDSC.KARPAS-422,ACH-000315,KARPAS-422,KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
940,gCSI.KARPAS-422,ACH-000315,KARPAS-422,KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
941,CTRP.KARPAS-422,ACH-000315,KARPAS-422,KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
942,CCLE.SNU886,ACH-000316,SNU-886,SNU886,SNU886_LIVER,
943,CTRP.SNU-886,ACH-000316,SNU-886,SNU886,SNU886_LIVER,
944,CCLE.TUHR14TKB,ACH-000317,TUHR14TKB,TUHR14TKB,TUHR14TKB_KIDNEY,
945,CTRP.TUHR14TKB,ACH-000317,TUHR14TKB,TUHR14TKB,TUHR14TKB_KIDNEY,
946,CCLE.TE10,ACH-000318,TE-10,TE10,TE10_OESOPHAGUS,
947,GDSC.TE-10,ACH-000318,TE-10,TE10,TE10_OESOPHAGUS,
948,CTRP.TE-10,ACH-000318,TE-10,TE10,TE10_OESOPHAGUS,
949,CCLE.MPP89,ACH-000319,MPP 89,MPP89,MPP89_PLEURA,
950,GDSC.MPP-89,ACH-000319,MPP 89,MPP89,MPP89_PLEURA,
951,CTRP.MPP-89,ACH-000319,MPP 89,MPP89,MPP89_PLEURA,
952,CCLE.PSN1,ACH-000320,PSN1,PSN1,PSN1_PANCREAS,
953,GDSC.PSN1,ACH-000320,PSN1,PSN1,PSN1_PANCREAS,
954,gCSI.PSN1,ACH-000320,PSN1,PSN1,PSN1_PANCREAS,
955,CTRP.PSN1,ACH-000320,PSN1,PSN1,PSN1_PANCREAS,
956,CCLE.HT144,ACH-000322,HT-144,HT144,HT144_SKIN,
957,GDSC.HT-144,ACH-000322,HT-144,HT144,HT144_SKIN,
958,CTRP.HT-144,ACH-000322,HT-144,HT144,HT144_SKIN,
959,CCLE.42MGBA,ACH-000323,42-MG-BA,42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,
960,GDSC.42-MG-BA,ACH-000323,42-MG-BA,42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,
961,CTRP.42-MG-BA,ACH-000323,42-MG-BA,42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,
962,CCLE.JHOC5,ACH-000324,JHOC-5,JHOC5,JHOC5_OVARY,
963,CTRP.JHOC-5,ACH-000324,JHOC-5,JHOC5,JHOC5_OVARY,
964,CCLE.JURLMK1,ACH-000326,JURL-MK1,JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
965,GDSC.JURL-MK1,ACH-000326,JURL-MK1,JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
966,CTRP.JURL-MK1,ACH-000326,JURL-MK1,JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
967,CCLE.NCIH1395,ACH-000327,NCI-H1395,NCIH1395,NCIH1395_LUNG,
968,GDSC.NCI-H1395,ACH-000327,NCI-H1395,NCIH1395,NCIH1395_LUNG,
969,CTRP.NCI-H1395,ACH-000327,NCI-H1395,NCIH1395,NCIH1395_LUNG,
